ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
254,1,57,7,17,6,1,0,5,1,1,1,6,4,5,1,6,1,5,5,7,5,1.20919301261993,-1.30329764467567,-.612600690624048,-1.80354082028217,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,4,5,2,30
258,1,32,5,19,5,1,6,1,1,3,1,1,3,1,1,2,1,7,1,6,1,.350893170676764,-2.20496683150231,-1.39039707310177,-1.80354082028217,6,6,7,7,7,6,7,7,7,7,7,6,7,7,7,3,3,3,2,6,2,50
259,1,36,3,14,2,1,20,1,2,1,1,1,6,1,1,1,4,7,2,6,1,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,6,7,5,7,7,5,5,7,7,7,7,7,6,6,6,7,7,7,4,7,2,50
260,1,41,7,26,2,1,0,1,4,3,2,3,3,1,1,1,3,4,1,4,2,-.507406671266396,-1.30329764467567,-1.39039707310177,-.27815803695894,3,6,6,6,6,2,6,3,7,2,7,7,7,7,7,7,7,7,5,6,2,40
261,1,33,3,18,6,1,15,3,6,3,6,1,6,1,3,2,6,7,1,7,6,.350893170676764,-1.30329764467567,-.612600690624048,-.27815803695894,6,6,6,7,7,5,7,4,7,7,7,6,7,7,6,6,6,6,5,5,2,40
266,1,56,4,17,3,1,8,2,2,2,2,2,6,2,1,5,2,5,5,5,4,.350893170676764,.500040728977605,-.612600690624048,-.27815803695894,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,35
268,1,55,11,17,11,1,3,2,2,3,3,1,5,1,1,1,3,6,1,6,5,-.507406671266396,-.401628457849034,-.612600690624048,-1.04084942862055,6,6,5,5,6,6,5,3,7,7,7,7,6,5,5,3,3,3,2,2,2,30
273,1,42,1,23,1,1,2,7,7,6,3,5,6,5,1,1,2,6,1,6,6,-.507406671266396,-.401628457849034,.165195691853675,.484533354702674,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,20
274,1,43,5,16,5,1,15,1,7,7,1,1,7,7,1,1,1,7,1,7,1,.350893170676764,.500040728977605,-1.39039707310177,-.27815803695894,6,7,7,6,6,5,1,1,6,6,7,7,1,1,1,7,7,7,1,1,2,20
280,1,30,4,18,10,1,2,2,1,2,4,5,5,5,2,5,4,4,6,5,5,-.507406671266396,-1.30329764467567,-.612600690624048,-1.80354082028217,6,5,5,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,2,60
286,1,38,2,26,1,1,5,2,4,3,5,2,5,2,3,2,5,5,2,5,4,-.507406671266396,.500040728977605,-.612600690624048,-1.04084942862055,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,4,5,5,2,15
287,1,35,2,24,2,1,0,4,5,2,5,1,5,1,3,1,5,7,1,6,5,-.507406671266396,-1.30329764467567,-.612600690624048,-1.04084942862055,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,1,2,50
292,1,38,11,15,11,1,20,1,1,4,4,4,4,4,4,3,3,3,3,3,4,1.20919301261993,1.40170991580424,.165195691853675,2.0099161380259,7,7,6,7,7,5,1,1,7,7,7,7,1,1,1,6,4,4,5,7,2, 
300,1,28,2,21,2,1,12,2,6,6,2,2,6,2,2,3,3,3,2,3,3,1.20919301261993,1.40170991580424,-1.39039707310177,1.24722474636429,6,6,5,3,4,5,5,5,4,3,3,4,5,4,3,4,5,4,3,4,3,60
302,1,66,20,15,100,0,0,2,2,2,6,2,6,2,6,6,6,4,6,4,6,-2.22400635515272,-1.30329764467567,-.612600690624048,-.27815803695894,2,7,2,6,6,6,7,7,1,4,7,7,1,1,1,4,4,4,1,1,2,5
