Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
303,2,62,1,2,1,1,4,1,4,1,1,5,2,5,5
304,2,33,1,4,4,4,4,4,4,4,4,4,4,4,4
305,2,31,3,2,2,2,4,1,1,2,2,6,1,6,5
307,1,30,1,1,2,1,5,1,1,1,2,6,1,5,6
308,1,30,3,7,5,2,7,2,2,2,6,5,3,6,6
309,1,35,1,3,4,4,6,3,2,4,4,5,1,4,3
312,1,34,1,1,7,1,6,1,2,1,7,7,1,7,5
316,1,39,1,5,7,2,5,2,1,2,7,5,2,5,6
318,1,25,8,3,5,4,4,3,2,3,5,5,4,6,2
321,1,30,3,3,2,1,2,2,5,5,5,6,6,5,5
322,1,32,6,1,7,4,7,4,7,4,7,7,1,7,3
323,1,33,1,2,7,1,5,1,4,2,7,6,2,6,5
324,1,32,1,2,6,1,5,1,5,3,7,5,3,4,7
326,1,45,3,1,4,4,5,1,1,1,1,5,1,5,2
328,1,31,3,5,3,4,3,4,6,5,4,3,5,6,5
329,1,43,1,1,1,1,6,1,1,1,1,6,1,6,5
331,1,39,2,1,1,1,6,1,3,1,1,6,1,6,4
334,1,50,1,5,6,5,5,3,5,5,5,4,5,4,5
335,1,30,1,1,6,4,5,1,1,1,6,6,1,6,2
336,1,34,2,6,4,5,4,3,5,6,4,5,4,5,4
337,1,37,2,6,4,5,5,5,7,5,3,6,6,5,7
338,1,26,3,6,4,6,4,6,4,2,4,1,4,2,6
339,1,47,1,5,4,2,4,2,6,2,4,5,2,5,6
340,1,66,1,2,4,1,5,1,1,4,4,7,1,7,5
341,1,25,3,6,6,5,5,4,5,6,4,6,4,5,4
342,1,29,1,1,6,1,7,1,6,6,6,7,6,7,7
343,1,62,1,2,2,1,5,1,2,2,2,4,2,4,2
345,1,27,3,5,6,3,3,5,6,4,3,5,4,6,5
346,1,53,1,5,5,5,4,7,6,2,6,5,2,4,6
347,1,32,1,4,4,5,3,5,4,5,5,4,5,2,5
349,1,32,3,4,5,5,5,4,4,5,6,6,5,5,5
350,1,26,3,4,4,5,6,5,5,4,5,5,5,5,5
353,1,34,2,1,6,1,5,4,5,3,6,6,3,7,5
354,1,26,1,1,1,1,7,1,1,5,1,7,6,7,1
357,1,27,1,2,5,5,6,2,5,2,6,6,2,5,6
358,1,43,1,1,4,4,7,1,4,1,4,7,2,7,6
359,1,42,3,2,1,3,7,2,4,2,1,7,4,7,1
360,1,44,3,5,4,5,6,4,5,6,4,3,5,6,5
361,1,39,3,5,5,5,5,5,4,6,6,6,5,4,6
362,1,71,3,6,7,6,7,7,6,2,7,6,6,6,7
363,1,24,6,5,3,2,5,3,5,1,5,2,6,3,5
364,1,29,1,5,2,5,3,4,3,3,6,5,3,5,4
365,1,32,3,2,1,2,7,2,2,1,1,7,1,7,5
366,1,34,3,2,7,5,4,5,2,4,7,7,1,7,6
368,1,32,3,5,6,5,5,5,5,6,5,6,5,5,6
371,1,30,3,4,4,3,4,4,1,3,1,3,4,1,1
373,1,45,1,1,7,1,7,1,1,4,7,7,1,7,7
374,1,29,1,2,5,6,6,1,4,1,5,7,1,6,2
375,1,49,3,1,6,2,7,2,3,5,6,6,4,6,7
378,1,29,1,1,6,1,6,1,5,4,6,6,1,6,6
380,1,31,1,1,7,1,6,1,1,1,6,7,1,6,5
381,1,31,1,1,7,1,7,1,2,1,7,6,1,6,7
382,1,43,2,6,3,4,3,5,3,3,5,5,2,4,4
385,1,27,3,1,5,1,7,1,1,1,6,7,1,6,6
387,1,57,1,4,6,4,6,3,3,4,6,6,4,6,6
388,1,21,8,1,6,4,7,5,7,5,7,7,6,7,1
389,1,29,1,1,7,1,7,1,1,1,7,7,1,7,7
390,1,38,1,5,5,6,5,2,3,4,2,6,3,3,1
391,1,32,6,1,2,1,7,1,1,2,6,6,5,6,6
392,1,30,1,2,4,1,5,2,5,4,3,4,2,4,4
393,1,40,1,1,6,1,6,2,2,1,6,5,1,5,5
394,1,62,1,3,1,2,5,1,1,1,1,7,1,7,4
395,1,33,3,3,2,2,7,2,6,6, ,6,5,7,2
396,1,42,1,4,4,4,5,4,5,4,4,6,4,5,5
397,1,25,3,6,5,6,5,6,6,4,4,4,5,4,5
398,1,36,3,1,1,1,4,1,1,1,1,6,1,5,3
399,1,35,1,1,5,6,5,4,6,3,5,6,3,5,3
400,1,33,6,5,5,5,7,7,6,7,5,7,5,7,5
