ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
269,1,24,0,5,16,20,1,4,1,5,5,6,4,4,5,3,4,5,4,5
270,1,30,0,3,19,3,1,8,4,6,6,6,5,5,4,6,6,6,6,6
271,1,32,0,11,18,11,1,8,1,2,1,6,1,5,1,2,7,1,7,2
272,1,29,0,2,20,2,2,2,3,6,5,5,5,2,4,3,3,5,5,6
273,1,42,0,1,23,1,1,2,7,3,5,6,5,1,1,2,6,1,6,6
274,1,43,0,5,16,5,1,15,1,1,1,7,7,1,1,1,7,1,7,1
275,1,29,0,2,21,2,2,0,6,3,5,6,4,3,6,7,6,5,3,5
276,1,35,0,3,16,11,1,15,1,1,1,1,1,5,1,1,1,1,1,1
277,1,24,0,2,17,2,1,1,3,3,4,3,2,4,3,2,4,3,3,4
278,1,45,0,20,15,11,1,6,5,4,3,6,3,1,4,3,5,3,5,4
280,1,30,0,4,18,10,1,2,2,4,5,5,5,2,5,4,4,6,5,5
281,1,32,0,10,19,8,1,0,5,3,3,5,3,4,4,4,3,2,5,4
282,1,34,0,3,14,4,1,0,1,7,1,5,1,2,1,7,6,1,5,7
283,1,35,0,0,20,3,1,30,6,1,1,7,1,1,5,1,7,1,7,2
284,1,40,0,10,16,8,1,3,2,4,1,4,1,3,1,3,6,1,5,4
285,1,25,0,3,20,3,1,20,3,7,1,7,1,1,1,7,7,2,4,1
286,1,38,0,2,26,1,1,5,2,5,2,5,2,3,2,5,5,2,5,4
287,1,35,0,2,24,2,1,0,4,5,1,5,1,3,1,5,7,1,6,5
288,1,28,0,3,18,10,15,10,1,3,1,7,1,2,1,2,3,1,3,1
289,1,44,0,2,29,1,1,1,6,5,4,5,6,7,6,5,6,1,1,1
290,1,39,0,2,20,4,0,0,5,2,4,4,4,1,4,4,5,6,5,1
291,1,47,0,7,17,7,1,4,1,1,1,7,1,5,1,1,7,1,4,1
292,1,38,0,11,15,11,1,20,1,4,4,4,4,4,3,3,3,3,3,4
293,1,36,1,7,12,7,0,0,2,5,2,5,4,3,5,5,3,5,3,5
295,1,44,0,6,16,6,1,15,5,2,2,5,2,2,5,2,5,2,5,2
296,1,34,0,2,18,4,1,5,1,4,1,7,1,6,1,4,6,1,7,4
297,1,38,0,5,18,5,1,12,1,6,3,3,1,1,1,6,5,1,5,2
298,1,44,0,15,16,12,1,12,5,2,2,4,2,3,2,2,6,2,6,2
299,1,44,1,6,17,10,0,0,1,6,1,5,1,1,1,6,4,1,4,4
300,1,28,0,2,21,2,1,12,2,2,2,6,2,2,3,3,3,2,3,3
301,1,56,1,4,21,6,0,0,1,1,1,1,1,1,1,1,6,1,4,4
302,1,66,1,20,15,100,0,0,2,6,2,6,2,6,6,6,4,6,4,6
303,1,62,1,4,17,12,0,0,2,1,1,4,1,4,1,1,5,2,5,5
304,1,33,0,8,17,11,1,0,4,4,4,4,4,4,4,4,4,4,4,4
305,1,31,0,2,27,1,1,1,2,2,2,4,1,1,2,2,6,1,6,5
306,0,38,0,10,27,1,1,4,6,6,6,5,5,6,4,5,4,5,5,6
307,0,30,1,1,28,1,0,0,1,2,1,5,1,1,1,2,6,1,5,6
309,0,35,0,4,18,2,1,15,3,4,4,6,3,2,4,4,5,1,4,3
311,0,29,0,1,20,1,1,6,5,4,4,5,4,6,5,4,4,3,4,4
312,0,34,1,2,18,2,0,0,1,7,1,6,1,2,1,7,7,1,7,5
313,0,33,0,5,20,16,1,2,1,4,4,5,4,4,2,4,5,5,5,6
315,0,29,0,10,26,1,1,4,1,3,5,3,5,3,7,5,3,5,4,6
316,0,39,0,5,23,2,1,10,5,7,2,5,2,1,2,7,5,2,5,6
317,0,29,0,5,14,12,5,4,5,5,4,5,3,4,5,5,6,3,5,5
318,0,25,0,6,16,6,1,8,3,5,4,4,3,2,3,5,5,4,6,2
321,0,30,0,2,24,2,2,2,3,2,1,2,2,5,5,5,6,6,5,5
322,0,32,0,12,21,4,1,18,1,7,4,7,4,7,4,7,7,1,7,3
323,0,33,1,7,26,5,1,0,2,7,1,5,1,4,2,7,6,2,6,5
324,0,32,0,5,21,4,1,4,2,6,1,5,1,5,3,7,5,3,4,7
325,0,25,0,3,20,2,3,2,6,6,7,5,4,7,5,4,6,7,4,6
326,0,45,0,2,25,1,1,10,1,4,4,5,1,1,1,1,5,1,5,2
327,0,28,0,3,18,2,2,2,5,4,5,3,4,5,6,3,3,3,4,4
329,0,43,0,15,18,14,1,1,1,1,1,6,1,1,1,1,6,1,6,5
330,0,25,0,5,18,5,2,2,4,5,6,5,5,4,5,5,4,5,4,5
331,0,39,1,8,19,8,1,0,1,1,1,6,1,3,1,1,6,1,6,4
332,0,34,0,5,18,11,2,2,3,5,3,6,3,3,3,4,5,3,4,3
334,0,50,0,12,15,10,1,2,5,6,5,5,3,5,5,5,4,5,4,5
335,0,30,0,5,23,1,1,8,1,6,4,5,1,1,1,6,6,1,6,2
336,0,34,0,1,27,1,1,5,6,4,5,4,3,5,6,4,5,4,5,4
337,0,37,0,3,21,3,1,10,6,4,5,5,5,7,5,3,6,6,5,7
339,0,47,1,2,28,3,0,0,5,4,2,4,2,6,2,4,5,2,5,6
340,0,66,0,3,20,1,1,4,2,4,1,5,1,1,4,4,7,1,7,5
341,0,25,0,1,21,1,1,1,6,6,5,5,4,5,6,4,6,4,5,4
342,0,29,0,7,16,7,1,22,1,6,1,7,1,6,6,6,7,6,7,7
